reviewId,userName,score,at,content,thumbsUpCount
fb7dd89a-1743-4880-9801-2f1e97187662,Saefuddin Jailani,4,2026-03-12 05:08:53,sangat membantu,0
34740c81-6137-4b45-9c06-bc853ce9e572,Adzra bloger,5,2026-03-12 05:01:08,ok,0
8c84c0b2-95c0-4cef-b3f3-65cdda46afd9,helmy ilhamsyah,5,2026-03-12 03:43:31,mantap,0
806fae33-2b82-45b0-a94b-0a8cddff3fca,Boedi Asijanto,5,2026-03-12 02:40:04,sangat bagus untuk pemesanan tiket,0
b2028b3e-1d4c-4630-bf35-9f69e4f0cdd9,Irul,1,2026-03-12 01:56:41,apalah tiket sudah di batalkan tetap masih suruh bayar,0
3046f502-ddf1-4eef-857a-4e9f89e8f4d4,Rama Gaming,1,2026-03-12 01:21:55,gak jelas ini aplikasi mau war tiket udah tinggal pilih kursi mlh ditolak Mulu giliran keluar tiketnya habis,0
3019900c-60d0-490a-9548-7017ac79d03d,Coral Zero,1,2026-03-12 00:58:46,Lebih jelek dan lebih lambat untuk sistem pembelian tiket daripada sistem lama,0
ecc8ce44-49b8-453d-8358-59647534c6a9,Humairah Azzahra,2,2026-03-12 00:48:19,"setiap pemesanan padahal saya saya sampe rela nunggu in tengah malam udah saya klik di waktu itu juga kenapa sering ada tulisan ""no Seat available"" kita butuh darurat jdi mohon bantuannya jangan di persulit",0
1904f47c-f7e2-4317-acc3-d6b16b7df7f1,Anton Yusuf,1,2026-03-12 00:43:24,Aplikasi sering ngelag sampai kehabisan tiket..di belain jam 00.00 gak tidur..malah zonk.,0
f93d4ea4-aa81-4d6b-bcaa-41ff5dc4f79d,Siti Fatonah,1,2026-03-12 00:41:41,"banyak updatenya, lalu jika suda di update datanya hilang. waktu di masukin lagi gabisa katanya udah terdaftar. ga jelas",0
f4341cfa-8ad5-4c2b-a9fe-22a01be89190,Fitraldi agung pratama,1,2026-03-12 00:36:31,"GABISA PESEN, PAS UDH PESEN GABISA DIBATALIN ALASANNYA TRANSACTION NOT FOUND, APK GAJELAS, TULISANNYA BEWARE APP RISK",0
ce63c595-9b07-44a4-bc53-0f5a78cf7ced,Imam Malwopati,1,2026-03-12 00:35:34,aplikasi jam segini pesen tiket sudah habis gak masuk akal,0
4af44cc6-d6ce-4312-b932-287d23622444,Satrio Zachry,1,2026-03-12 00:29:44,"apk macam apa ini, di jadwal tiket kursi tersedia, waktu mau pesan dan sudah isi daftar penumpang malah tidak bisa, makin di perbarui bukannya main bagus malah makin jelek!!",0
5fe1c7ff-6e82-4593-9844-c744d95d0159,fina dork,1,2026-03-12 00:28:40,error terus. Sudah di bayar tiket gak ada. mau pesan lagi tulisannya tidak bisa karena data sama dan double tiket. Aneh,0
bd30cbf1-8e6a-4b74-9127-0dcc7e0c9f79,Arif Setiawan,1,2026-03-12 00:17:48,bukan nya di permudah malah di bikin sulit mesen online ini. mending sekali klik bisa. ini coba lagi coba lagi. tapi klo aku sendiri yg mesen bisa . pada hal saya mau mesen in nama ortu . malah gk bisa. tapi klo nama sendiri bisa.,0
72bf4340-b905-44ae-a535-e01f58077156,ariya valentino diaz,1,2026-03-12 00:17:36,"sering error,tidak bisa pilih kursi",0
6b4a4c58-394e-4f9b-ace9-2c50f49fe229,Naufal Ariq Purnama,5,2026-03-12 00:01:19,mantapp,0
44d78514-794b-40b5-b51a-16b1a7a82cd2,Tri Tanti sayudi,1,2026-03-11 23:31:37,hala habis teruss pesen gak bisa kuntull gak bisa mudik parah ni apk bikin gemesss ada calo kuntul mkany habis teruss parahhhhhhhhhhh,0
0e9e65cb-5c0e-40c1-bd39-e48a081a7085,Kang Yakin,1,2026-03-11 22:38:08,satu dulu,0
bd9f3e0c-067e-4b9c-9dbb-c9576e2287cd,Yayan Jaya,5,2026-03-11 22:09:24,ok,0
2fd428b6-7471-4556-96c2-d264a7b0a6c7,Diky,5,2026-03-11 20:53:23,bgus,0
29a34be4-67ff-47d2-9457-969b7c4f141f,Farhan,1,2026-03-11 20:35:01,"estimasi waktu gak sesuai , wajar lah orang subsidi",0
95f0e947-9852-419c-a259-27153b034d3e,Ujang Emin,5,2026-03-11 20:03:13,setia dg kai,0
ac0906c3-e17b-4b0d-bede-c6b03d6ef15e,Rusnita,5,2026-03-11 19:59:21,sangat Membantu sekali,0
